YEAR,Item,Value,T2M_MAX,T2M_MIN,PRECTOTCORR_SUM,RH2M,WS2M,GWETTOP,GWETROOT,GWETPROF
2008,0,-0.6383060850173329,-0.44367252811245306,-2.070523306900773,-0.8739173152596245,-1.7105702582629625,-0.3115023323938229,1.4363106492851747,1.02469507659596,2.7755575615628914e-17
2009,0,-0.7260806939214633,-1.8417909989329273,-0.7615538902402995,-0.8739173152596245,-0.9501852784076603,-0.8292697227240999,1.4363106492851747,1.02469507659596,2.7755575615628914e-17
2011,0,-0.3473102631515668,-0.11293482533770814,1.031627790306772,1.497183905203816,1.4280400841184955,-1.1744479829442822,0.5303300858899112,1.02469507659596,2.7755575615628914e-17
2012,0,-0.41073191678343485,0.9694794746523351,-1.2138400707937151,-0.22717901685045838,-0.0927298755921089,0.5514433181566286,-0.37565047750535246,-0.9759000729485332,2.7755575615628914e-17
2013,0,-0.08094731558418063,-0.9999132100517778,-0.11771120968779002,-0.443030990023682,-0.4405655578663422,1.586978098817175,-0.37565047750535246,1.02469507659596,2.7755575615628914e-17
2014,0,-0.7256808095984376,-1.4208521044923526,0.23347570697721515,0.4195592815587075,1.0721151999309066,-0.8292697227240999,-1.2816310409006173,-0.9759000729485332,2.7755575615628914e-17
2015,0,-0.3473902400161719,-0.7894437628314904,-0.21881047357620062,-0.443030990023682,-0.39203034638621476,0.5514433181566286,-1.2816310409006173,-0.9759000729485332,2.7755575615628914e-17
2018,0,-0.41912948756697355,-0.21816954894785182,1.2497893597501846,0.4195592815587075,1.1772748248045115,1.0692107084869056,-0.37565047750535246,-0.9759000729485332,2.7755575615628914e-17
2019,0,-0.4194094065930918,0.3982052607686964,1.3029994986388218,-1.089769288432848,1.0721151999309066,1.586978098817175,-1.2816310409006173,-0.9759000729485332,2.7755575615628914e-17
2020,0,-0.9316612243889506,1.5257201565916598,-0.20284743190960947,-0.011735854232487184,0.31173022007560447,-0.3115023323938229,-0.37565047750535246,-0.9759000729485332,2.7755575615628914e-17
2021,0,-0.9190648682136426,0.939412410763718,0.8028241930856326,-0.8260864802951032,-1.4031805855554982,-1.0018588528341872,0.5303300858899112,1.02469507659596,2.7755575615628914e-17
2022,0,-0.8817556608753493,0.8341776871535743,-0.8147640291289365,2.2162816718926424,-0.3434951349060902,-1.0018588528341872,1.4363106492851747,1.02469507659596,2.7755575615628914e-17
2008,1,-0.5693660277277108,-0.44367252811245306,-2.070523306900773,-0.8739173152596245,-1.7105702582629625,-0.3115023323938229,1.4363106492851747,1.02469507659596,2.7755575615628914e-17
2009,1,-0.6323877970365532,-1.8417909989329273,-0.7615538902402995,-0.8739173152596245,-0.9501852784076603,-0.8292697227240999,1.4363106492851747,1.02469507659596,2.7755575615628914e-17
2011,1,-0.49682701153085757,-0.11293482533770814,1.031627790306772,1.497183905203816,1.4280400841184955,-1.1744479829442822,0.5303300858899112,1.02469507659596,2.7755575615628914e-17
2012,1,-0.45184002519047184,0.9694794746523351,-1.2138400707937151,-0.22717901685045838,-0.0927298755921089,0.5514433181566286,-0.37565047750535246,-0.9759000729485332,2.7755575615628914e-17
2013,1,-0.28944700160975523,-0.9999132100517778,-0.11771120968779002,-0.443030990023682,-0.4405655578663422,1.586978098817175,-0.37565047750535246,1.02469507659596,2.7755575615628914e-17
2014,1,-0.6323877970365532,-1.4208521044923526,0.23347570697721515,0.4195592815587075,1.0721151999309066,-0.8292697227240999,-1.2816310409006173,-0.9759000729485332,2.7755575615628914e-17
2015,1,0.7145425682107468,-0.7894437628314904,-0.21881047357620062,-0.443030990023682,-0.39203034638621476,0.5514433181566286,-1.2816310409006173,-0.9759000729485332,2.7755575615628914e-17
2018,1,1.4059025742897946,-0.21816954894785182,1.2497893597501846,0.4195592815587075,1.1772748248045115,1.0692107084869056,-0.37565047750535246,-0.9759000729485332,2.7755575615628914e-17
2019,1,2.0625126326979135,0.3982052607686964,1.3029994986388218,-1.089769288432848,1.0721151999309066,1.586978098817175,-1.2816310409006173,-0.9759000729485332,2.7755575615628914e-17
2020,1,0.9567924910996858,1.5257201565916598,-0.20284743190960947,-0.011735854232487184,0.31173022007560447,-0.3115023323938229,-0.37565047750535246,-0.9759000729485332,2.7755575615628914e-17
2021,1,1.0190144917624773,0.939412410763718,0.8028241930856326,-0.8260864802951032,-1.4031805855554982,-1.0018588528341872,0.5303300858899112,1.02469507659596,2.7755575615628914e-17
2022,1,1.036129540787975,0.8341776871535743,-0.8147640291289365,2.2162816718926424,-0.3434951349060902,-1.0018588528341872,1.4363106492851747,1.02469507659596,2.7755575615628914e-17
2018,3,1.68894069812735,-0.21816954894785182,1.2497893597501846,0.4195592815587075,1.1772748248045115,1.0692107084869056,-0.37565047750535246,-0.9759000729485332,2.7755575615628914e-17
2019,3,3.009718628648773,0.3982052607686964,1.3029994986388218,-1.089769288432848,1.0721151999309066,1.586978098817175,-1.2816310409006173,-0.9759000729485332,2.7755575615628914e-17
2020,3,1.627918350433636,1.5257201565916598,-0.20284743190960947,-0.011735854232487184,0.31173022007560447,-0.3115023323938229,-0.37565047750535246,-0.9759000729485332,2.7755575615628914e-17
2021,3,1.7146932485302024,0.939412410763718,0.8028241930856326,-0.8260864802951032,-1.4031805855554982,-1.0018588528341872,0.5303300858899112,1.02469507659596,2.7755575615628914e-17
2022,3,1.737086770619639,0.8341776871535743,-0.8147640291289365,2.2162816718926424,-0.3434951349060902,-1.0018588528341872,1.4363106492851747,1.02469507659596,2.7755575615628914e-17
